隐患点名称	隐患点编号	经度	维度	设备名称	设备编号	时间	采集值x	采集值y	采集值z
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 12:00:00+08	81.59	-47.21	122.01
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 13:00:00+08	68.88	-39.01	69.4
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 14:00:00+08	65.11	-35.76	60.7
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 15:00:00+08	105.09	-48.58	145.22
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 16:00:00+08	58.73	-82.8	34.99
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 17:00:00+08	73.67	-70.26	68.78
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 18:00:00+08	92.04	-72.8	78.82
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 19:00:00+08	73.97	-83.31	69.49
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 20:00:00+08	93.75	-66.87	99.54
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 21:00:00+08	96.51	-63.32	130.34
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 22:00:00+08	67.21	-72.34	50.49
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-19 23:00:00+08	60.37	-88.7	6.58
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 00:00:00+08	35.98	-72.97	-31.7
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 01:00:00+08	68.76	-70.46	21.27
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 02:00:00+08	77.84	-72.88	22.46
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 03:00:00+08	99.75	-92.18	62.55
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 04:00:00+08	118.25	-83.31	149.41
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 05:00:00+08	110.44	-78.22	99.78
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 06:00:00+08	127.78	-100.14	144.76
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 07:00:00+08	111.4	-107.85	103.3
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 08:00:00+08	104.96	-103.85	137.89
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 09:00:00+08	138.08	-120.74	172.85
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 10:00:00+08	137.29	-114.06	192.74
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 11:00:00+08	146.12	-103.05	208.36
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 12:00:00+08	144.48	-92.8	179.48
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 13:00:00+08	148.78	-96.66	235.35
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 14:00:00+08	154.64	-94.91	275.19
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 15:00:00+08	124.29	-83.12	193.46
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 16:00:00+08	145.77	-61.22	275.77
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 17:00:00+08	97.84	-55.24	216.63
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 18:00:00+08	71.18	-48.9	140.7
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 19:00:00+08	58.33	-38.6	132.46
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 20:00:00+08	39.79	-69.58	89.19
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 21:00:00+08	16.82	-73.32	3.11
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 22:00:00+08	0.56	-70.17	-15.9
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-20 23:00:00+08	24.11	-57.37	47.56
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 00:00:00+08	11.56	-50.88	12.76
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 01:00:00+08	-20.21	-52.58	-43.97
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 02:00:00+08	-16.43	-57.34	-50.19
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 03:00:00+08	10.34	-49.66	-31.96
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 04:00:00+08	-9.98	-53.07	-81.51
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 05:00:00+08	0.85	-43.85	-58.12
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 06:00:00+08	-35.95	-22.93	-123.94
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 07:00:00+08	-28.62	-11.81	-144.55
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 08:00:00+08	-40.77	-30.1	-229.52
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 09:00:00+08	-14.28	-5.86	-191.07
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 10:00:00+08	-25.39	-16.92	-227.9
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 11:00:00+08	-18.29	-13.75	-237.03
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 12:00:00+08	-4.9	-23.19	-219.25
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 13:00:00+08	-0.6	-23.86	-228.11
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 14:00:00+08	-8.76	-29.17	-284.24
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 15:00:00+08	7.62	-44.88	-234.33
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 16:00:00+08	0.83	-58.54	-250.03
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 17:00:00+08	45.18	-74.81	-202.62
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 18:00:00+08	59.86	-80.21	-178.93
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 19:00:00+08	56.07	-89.59	-196.17
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 20:00:00+08	66.34	-77.3	-167.21
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 21:00:00+08	71.42	-57.78	-145.14
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 22:00:00+08	109.46	-52.74	-97.08
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-21 23:00:00+08	123.06	-55.67	-55.94
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-22 00:00:00+08	180.98	-89.91	93.15
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-22 01:00:00+08	214.67	-86.22	129.17
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-22 02:00:00+08	204.95	-78.75	123.91
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-22 03:00:00+08	213.3	-78.47	152.85
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-22 04:00:00+08	205.92	-81.43	131.32
洪江市黔城镇长坡村1组麻丸脚滑坡	4.31281E+11	109.88974	27.154503	GNS1表面位移表面位移监测1	431281011110020101	2021-08-22 05:00:00+08	209.66	-90.95	165.26
